case_id,activity,timestamp,game,hours_played
100478352,Purchase Game,2024-07-24 12:00:00,The Elder Scrolls V Skyrim,0.0
100478352,Start Playing,2024-07-26 09:00:00,The Elder Scrolls V Skyrim,37.0
100519466,Purchase Game,2024-03-18 17:00:00,Arma 3,0.0
100519466,Purchase Game,2024-03-18 23:00:00,Garry's Mod,0.0
100519466,Purchase Game,2024-03-19 17:00:00,ARK Survival Evolved,0.0
100519466,Purchase Game,2024-03-20 07:00:00,Arma 2 Operation Arrowhead,0.0
100519466,Start Playing,2024-03-20 15:00:00,Garry's Mod,188.0
100519466,Start Playing,2024-03-21 06:00:00,ARK Survival Evolved,183.0
100519466,Start Playing,2024-03-21 09:00:00,Arma 3,2484.0
100519466,Purchase Game,2024-03-21 10:00:00,Saints Row The Third,0.0
100519466,Purchase Game,2024-03-21 13:00:00,Space Engineers,0.0
100519466,Start Playing,2024-03-21 16:00:00,Arma 2 Operation Arrowhead,147.0
100519466,Start Playing,2024-03-22 15:00:00,Saints Row The Third,114.0
100519466,Purchase Game,2024-03-23 02:00:00,Robocraft,0.0
100519466,Purchase Game,2024-03-23 13:00:00,Team Fortress 2,0.0
100519466,Start Playing,2024-03-23 21:00:00,Space Engineers,83.0
100519466,Purchase Game,2024-03-23 23:00:00,Sniper Ghost Warrior,0.0
100519466,Purchase Game,2024-03-25 02:00:00,PAYDAY 2,0.0
100519466,Purchase Game,2024-03-25 10:00:00,Euro Truck Simulator 2,0.0
100519466,Purchase Game,2024-03-25 14:00:00,Farming Simulator 15,0.0
100519466,Start Playing,2024-03-25 18:00:00,Team Fortress 2,36.0
100519466,Start Playing,2024-03-25 21:00:00,Robocraft,73.0
100519466,Start Playing,2024-03-26 03:00:00,PAYDAY 2,30.0
100519466,Purchase Game,2024-03-26 15:00:00,Sniper Ghost Warrior 2,0.0
100519466,Start Playing,2024-03-26 16:00:00,Sniper Ghost Warrior,32.0
100519466,Start Playing,2024-03-26 20:00:00,Euro Truck Simulator 2,29.0
100519466,Start Playing,2024-03-27 05:00:00,Farming Simulator 15,25.0
100519466,Purchase Game,2024-03-27 16:00:00,BLOCKADE 3D,0.0
100519466,Purchase DLC/Season Pass,2024-03-28 15:00:00,Garry's Mod,188.0
100519466,Start Playing,2024-03-28 16:00:00,Sniper Ghost Warrior 2,24.0
100519466,Purchase Game,2024-03-29 03:00:00,HAWKEN,0.0
100519466,Purchase Game,2024-03-29 14:00:00,Borderlands 2,0.0
100519466,Start Playing,2024-03-29 15:00:00,BLOCKADE 3D,19.4
100519466,Start Playing,2024-03-31 00:00:00,Borderlands 2,15.6
100519466,Purchase Game,2024-03-31 03:00:00,Portal 2,0.0
100519466,Start Playing,2024-04-01 00:00:00,HAWKEN,17.7
100519466,Start Playing,2024-04-01 00:00:00,Portal 2,15.0
100519466,Purchase Game,2024-04-01 06:00:00,Dishonored,0.0
100519466,Purchase DLC/Season Pass,2024-04-01 21:00:00,Robocraft,73.0
100519466,Purchase Game,2024-04-02 19:00:00,Rocket League,0.0
100519466,Purchase Game,2024-04-03 05:00:00,Dead Island,0.0
100519466,Purchase DLC/Season Pass,2024-04-03 09:00:00,Arma 3,2484.0
100519466,Purchase Game,2024-04-03 14:00:00,Rise of Nations Extended Edition,0.0
100519466,Start Playing,2024-04-03 22:00:00,Dishonored,14.8
100519466,Purchase Game,2024-04-04 05:00:00,Warframe,0.0
100519466,Purchase DLC/Season Pass,2024-04-04 15:00:00,Saints Row The Third,114.0
100519466,Purchase Game,2024-04-04 17:00:00,Sid Meier's Civilization Beyond Earth,0.0
100519466,Start Playing,2024-04-05 02:00:00,Warframe,6.6
100519466,Start Playing,2024-04-05 11:00:00,Dead Island,6.9
100519466,Start Playing,2024-04-05 14:00:00,Rocket League,9.7
100519466,Start Playing,2024-04-05 21:00:00,Rise of Nations Extended Edition,6.7
100519466,Start Playing,2024-04-06 06:00:00,Sid Meier's Civilization Beyond Earth,5.3
100519466,Purchase Game,2024-04-06 15:00:00,Don't Starve,0.0
100519466,Purchase Game,2024-04-08 12:00:00,The Elder Scrolls V Skyrim,0.0
100519466,Purchase DLC/Season Pass,2024-04-08 21:00:00,Space Engineers,83.0
100519466,Start Playing,2024-04-08 21:00:00,Don't Starve,3.6
100519466,Purchase DLC/Season Pass,2024-04-10 06:00:00,ARK Survival Evolved,183.0
100519466,Purchase Game,2024-04-10 09:00:00,PlanetSide 2,0.0
100519466,Start Playing,2024-04-10 13:00:00,The Elder Scrolls V Skyrim,3.5
100519466,Purchase DLC/Season Pass,2024-04-10 16:00:00,Arma 2 Operation Arrowhead,147.0
100519466,Purchase Game,2024-04-11 09:00:00,Need for Speed SHIFT,0.0
100519466,Start Playing,2024-04-12 08:00:00,Need for Speed SHIFT,1.8
100519466,Abandon Game (Refund Risk),2024-04-12 10:00:00,Need for Speed SHIFT,1.8
